id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
4745774-0,4745774,26605707,1360288007,7.802014800596145,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.8890932 52.3703050, 4.8889884 52.3702764)"
4745774-1,4745774,1360288007,6316199,42.44467884034033,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.8889884 52.3702764, 4.8885281 52.3701703, 4.8884718 52.3701680, 4.8883961 52.3701725)"
7370599-0,7370599,46390816,46389118,32.715805175821544,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9026583 52.3725298, 4.9025189 52.3722485)"
7370599-1,7370599,46389118,46388186,21.634889376595208,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9025189 52.3722485, 4.9024164 52.3720645)"
7370599-2,7370599,46388186,46386051,56.54169258338322,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9024164 52.3720645, 4.9022263 52.3716289, 4.9021922 52.3715757)"
7370599-3,7370599,46386051,46384589,47.18421610347593,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9021922 52.3715757, 4.9021639 52.3715353, 4.9020206 52.3713503, 4.9019160 52.3712447, 4.9018573 52.3712072)"
7370599-4,7370599,46384589,46383801,25.939775865677003,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9018573 52.3712072, 4.9015935 52.3710388)"
7370605-0,7370605,46382488,46383113,34.84530361140088,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9013037 52.3707210, 4.9013522 52.3707588, 4.9013644 52.3707683, 4.9014152 52.3707970, 4.9016816 52.3709309)"
7370605-1,7370605,46383113,46385484,78.31863163475137,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9016816 52.3709309, 4.9022227 52.3712186, 4.9022516 52.3712403, 4.9022713 52.3712676, 4.9023842 52.3714635)"
7370605-2,7370605,46385484,46387468,57.08622590175967,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9023842 52.3714635, 4.9026222 52.3719553)"
7370607-0,7370607,46371578,430820685,56.91202822604401,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(4.9019095 52.3685841, 4.9023829 52.3690058)"
7370608-0,7370608,46371369,430820687,11.53399277410197,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.9037566 52.3685302, 4.9037167 52.3684951, 4.9037114 52.3684343)"
7370610-0,7370610,46380486,46381571,41.93622832523357,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9015884 52.3703659, 4.9016973 52.3703755, 4.9021062 52.3705585)"
7370610-1,7370610,46381571,46383661,89.52192107308669,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9021062 52.3705585, 4.9031737 52.3710296)"
7370610-2,7370610,46383661,46384703,50.406051373698254,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9031737 52.3710296, 4.9037649 52.3713030)"
7370610-3,7370610,46384703,46385947,49.92496281423887,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9037649 52.3713030, 4.9043685 52.3715586)"
7370611-0,7370611,46379163,46376975,63.000595053390306,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9024545 52.3700943, 4.9024982 52.3700464, 4.9029011 52.3697449, 4.9030652 52.3696753)"
7370616-0,7370616,8015802415,7715002108,20.302954242014184,Allowed,Tertiary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9089801 52.3697242, 4.9088278 52.3698811)"
7370616-1,7370616,7715002108,8015802422,18.631671999208386,Allowed,Tertiary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9088278 52.3698811, 4.9087155 52.3700059, 4.9086931 52.3700268)"
7370650-0,7370650,46370197,4573533254,44.92111291718338,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(4.9018102 52.3682441, 4.9023608 52.3680209)"
